央视,#genre#
CCTV1,http://10.11.43.21/PLTV/88888912/224/3221226446/10000100000000060000000000870185_0.smil/01.m3u8?fmt=ts2hls
CCTV2,http://10.11.43.21/PLTV/88888912/224/3221226445/10000100000000060000000000870187_0.smil/01.m3u8?fmt=ts2hls
CCTV3,http://10.11.43.21/PLTV/88888912/224/3221226422/10000100000000060000000000808184_0.smil/01.m3u8?fmt=ts2hls
CCTV4,http://10.11.43.21/PLTV/88888912/224/3221226450/10000100000000060000000000870191_0.smil/01.m3u8?fmt=ts2hls
CCTV5,http://10.11.43.21/PLTV/88888912/224/3221226423/10000100000000060000000000808427_0.smil/01.m3u8?fmt=ts2hls
CCTV6,http://10.11.43.21/PLTV/88888912/224/3221226426/10000100000000060000000000808425_0.smil/01.m3u8?fmt=ts2hls
CCTV7,http://10.11.43.21/PLTV/88888912/224/3221226452/10000100000000060000000000870192_0.smil/01.m3u8?fmt=ts2hls
CCTV8,http://10.11.43.21/PLTV/88888912/224/3221226444/10000100000000060000000000808423_0.smil/01.m3u8?fmt=ts2hls
CCTV9,http://10.11.43.21/PLTV/88888912/224/3221226443/10000100000000060000000000870186_0.smil/01.m3u8?fmt=ts2hls
CCTV10,http://10.11.43.21/PLTV/88888912/224/3221226454/10000100000000060000000000870188_0.smil/01.m3u8?fmt=ts2hls
CCTV11,http://10.11.43.21/PLTV/88888912/224/3221226102/10000100000000060000000000719622_0.smil/01.m3u8?fmt=ts2hls
CCTV12,http://10.11.43.21/PLTV/88888912/224/3221226447/10000100000000060000000000870190_0.smil/01.m3u8?fmt=ts2hls
CCTV13,http://10.11.43.21/PLTV/88888912/224/3221226678/382484600.smil/01.m3u8?fmt=ts2hls
CCTV14,http://10.11.43.21/PLTV/88888912/224/3221226456/10000100000000060000000000870189_0.smil/01.m3u8?fmt=ts2hls
CCTV15,http://10.11.43.21/PLTV/88888912/224/3221226103/10000100000000060000000000719621_0.smil/01.m3u8?fmt=ts2hls
CCTV16,rtsp://10.11.43.21/PLTV/88888912/224/3221226635/404077257.smil
CCTV17,http://10.11.43.21/PLTV/88888912/224/3221226654/394801661.smil/01.m3u8?fmt=ts2hls
CCTV4欧洲,http://10.11.43.21/PLTV/88888912/224/3221226638/394108021.smil/01.m3u8?fmt=ts2hls
CCTV4美洲,http://10.11.43.21/PLTV/88888912/224/3221226642/394108651.smil/01.m3u8?fmt=ts2hls
CCTV5+,http://10.11.43.21/PLTV/88888912/224/3221226077/10000100000000060000000000662662_0.smil/01.m3u8?fmt=ts2hls
CGTN英语,http://10.11.43.21/PLTV/88888912/224/3221226615/394108645.smil/01.m3u8?fmt=ts2hls
CGTN记录,http://10.11.43.21/PLTV/88888912/224/3221226619/394108649.smil/01.m3u8?fmt=ts2hls
CGTN西语,http://10.11.43.21/PLTV/88888912/224/3221226676/394108020.smil/01.m3u8?fmt=ts2hls
CGTN法语,http://10.11.43.21/PLTV/88888912/224/3221226625/394108015.smil/01.m3u8?fmt=ts2hls
CGTN阿语,http://10.11.43.21/PLTV/88888912/224/3221226646/394108011.smil/01.m3u8?fmt=ts2hls
CGTN俄语,http://10.11.43.21/PLTV/88888912/224/3221226650/394108007.smil/01.m3u8?fmt=ts2hls
本地,#genre#
内蒙古卫视,http://10.11.43.21/PLTV/88888912/224/3221226078/10000100000000060000000000662786_0.smil/01.m3u8?fmt=ts2hls
内蒙古新闻综合,http://10.11.43.21/PLTV/88888912/224/3221226109/10000100000000060000000000784890_0.smil/01.m3u8?fmt=ts2hls
内蒙古经济生活,http://10.11.43.21/PLTV/88888912/224/3221226113/10000100000000060000000000784886_0.smil/01.m3u8?fmt=ts2hls
内蒙古文体娱乐,http://10.11.43.21/PLTV/88888912/224/3221226111/10000100000000060000000000784888_0.smil/01.m3u8?fmt=ts2hls
内蒙古农牧频道,http://10.11.43.21/PLTV/88888912/224/3221226112/10000100000000060000000000784887_0.smil/01.m3u8?fmt=ts2hls
内蒙古少儿频道,http://10.11.43.21/PLTV/88888912/224/3221226108/10000100000000060000000000784891_0.smil/01.m3u8?fmt=ts2hls
内蒙古蒙语卫视,http://10.11.43.21/PLTV/88888912/224/3221226086/10000100000000060000000000663216_0.smil/01.m3u8?fmt=ts2hls
内蒙古蒙语文化,http://10.11.43.21/PLTV/88888912/224/3221226110/10000100000000060000000000784889_0.smil/01.m3u8?fmt=ts2hls
包头新闻综合,http://10.11.43.21/PLTV/88888912/224/3221226577/10000100000000060000000001125938_0.smil/01.m3u8?fmt=ts2hls
包头生活服务,http://10.11.43.21/PLTV/88888912/224/3221226600/10000100000000060000000001125937_0.smil/01.m3u8?fmt=ts2hls
包头经济频道,http://10.11.43.21/PLTV/88888912/224/3221226100/10000100000000060000000000753859_0.smil/01.m3u8?fmt=ts2hls
呼和浩特新闻综合,http://10.11.43.21/PLTV/88888912/224/3221226585/10000100000000060000000001126204_0.smil/01.m3u8?fmt=ts2hls
呼和浩特都市生活,http://10.11.43.21/PLTV/88888912/224/3221226587/10000100000000060000000001126205_0.smil/01.m3u8?fmt=ts2hls
呼和浩特影视娱乐,http://10.11.43.21/PLTV/88888912/224/3221226594/10000100000000060000000001126199_0.smil/01.m3u8?fmt=ts2hls
鄂尔多斯新闻综合,http://10.11.43.21/PLTV/88888912/224/3221226624/10000100000000060000000001126373_0.smil/01.m3u8?fmt=ts2hls
